Gemeenten,Provincie,Grootteklasse,
Hoeksche Waard,Zuid-Holland,50.000 tot 100.000 inwoners,
Hoogeveen,Drenthe,50.000 tot 100.000 inwoners,
Hoorn,Noord-Holland,50.000 tot 100.000 inwoners,
Houten,Utrecht,50.000 tot 100.000 inwoners,
Kampen,Overijssel,50.000 tot 100.000 inwoners,
Katwijk,Zuid-Holland,50.000 tot 100.000 inwoners,
Krimpenerwaard,Zuid-Holland,50.000 tot 100.000 inwoners,
Land van Cuijk,Noord-Brabant,50.000 tot 100.000 inwoners,
Lansingerland,Zuid-Holland,50.000 tot 100.000 inwoners,
Leidschendam-Voorburg,Zuid-Holland,50.000 tot 100.000 inwoners,
Lelystad,Flevoland,50.000 tot 100.000 inwoners,
Maashorst,Noord-Brabant,50.000 tot 100.000 inwoners,
Meierijstad,Noord-Brabant,50.000 tot 100.000 inwoners,
Midden-Groningen,Groningen,50.000 tot 100.000 inwoners,
Nieuwegein,Utrecht,50.000 tot 100.000 inwoners,
Nissewaard,Zuid-Holland,50.000 tot 100.000 inwoners,
Oosterhout,Noord-Brabant,50.000 tot 100.000 inwoners,
Oss,Noord-Brabant,50.000 tot 100.000 inwoners,
Pijnacker-Nootdorp,Zuid-Holland,50.000 tot 100.000 inwoners,
Purmerend,Noord-Holland,50.000 tot 100.000 inwoners,
Rijswijk (ZH.),Zuid-Holland,50.000 tot 100.000 inwoners,
Roermond,Limburg,50.000 tot 100.000 inwoners,
Roosendaal,Noord-Brabant,50.000 tot 100.000 inwoners,
Schiedam,Zuid-Holland,50.000 tot 100.000 inwoners,
Sittard-Geleen,Limburg,50.000 tot 100.000 inwoners,
Smallingerland,Friesland,50.000 tot 100.000 inwoners,
Stichtse Vecht,Utrecht,50.000 tot 100.000 inwoners,
Súdwest-Friesland,Friesland,50.000 tot 100.000 inwoners,
Terneuzen,Zeeland,50.000 tot 100.000 inwoners,
Utrechtse Heuvelrug,Utrecht,50.000 tot 100.000 inwoners,
Veenendaal,Utrecht,50.000 tot 100.000 inwoners,
Velsen,Noord-Holland,50.000 tot 100.000 inwoners,
Vijfheerenlanden,Utrecht,50.000 tot 100.000 inwoners,
Vlaardingen,Zuid-Holland,50.000 tot 100.000 inwoners,
Voorne aan Zee,Zuid-Holland,50.000 tot 100.000 inwoners,
Weert,Limburg,50.000 tot 100.000 inwoners,
West Betuwe,Gelderland,50.000 tot 100.000 inwoners,
Westerkwartier,Groningen,50.000 tot 100.000 inwoners,
Woerden,Utrecht,50.000 tot 100.000 inwoners,
Zeist,Utrecht,50.000 tot 100.000 inwoners,
Baarle-Nassau,Noord-Brabant,5.000 tot 10.000 inwoners,
Eemnes,Utrecht,5.000 tot 10.000 inwoners,
Mook en Middelaar,Limburg,5.000 tot 10.000 inwoners,
Noord-Beveland,Zeeland,5.000 tot 10.000 inwoners,
Oostzaan,Noord-Holland,5.000 tot 10.000 inwoners,
Renswoude,Utrecht,5.000 tot 10.000 inwoners,
Zoeterwoude,Zuid-Holland,5.000 tot 10.000 inwoners,
Ameland,Friesland,minder dan 5.000 inwoners,
Rozendaal,Gelderland,minder dan 5.000 inwoners,
Schiermonnikoog,Friesland,minder dan 5.000 inwoners,
Terschelling,Friesland,minder dan 5.000 inwoners,
Vlieland,Friesland,minder dan 5.000 inwoners,
